Date operation;Date de comptabilisation;Categorie operation;Libelle operation;Libelle simplifie;Montant operation;Pointage operation
2022-05-28;2022-05-30;Hyper/supermarche;NOBLADIS;ELECLERC;-40,32;0
2022-05-26;2022-05-27;Hyper/supermarche;E LECLERC;ELECLERC;-47,20;0
2022-05-25;2022-05-26;Shopping et services;JARDILAND ENSEI;JARDILAND;-109,95;0
2022-05-25;2022-05-26;High-Tech/Electromenager;Boulanger;BOULANGER;-9,99;0
2022-05-22;2022-05-23;Carburant;TOTAL;JP AUTO;-48,67;0
2022-05-21;2022-05-23;Hyper/supermarche;L'ANTRE 2 VERRE;L'ANTRE DEUX VERRES;-30,68;0
2022-05-20;2022-05-23;Carburant;REL.BLAGNAC ROC;TOTAL;-14,55;0
2022-05-20;2022-05-20;Internet et telephonie;Orange SA;ORANGE;-14,99;0
2022-05-19;2022-05-20;Vetements et chaussures;SERGENT MAJOR;SERGENT MAJOR;-84,95;0
2022-05-19;2022-05-20;Sport, Gym et Equipement;DECATHLON;DECATHLON;-56,00;0
2022-05-19;2022-05-20;Hyper/supermarche;NOBLADIS;ELECLERC;-27,94;0
2022-05-19;2022-05-20;Hyper/supermarche;NOBLADIS;ELECLERC;-22,75;0
2022-05-18;2022-05-19;Ameublement et appareil;MAISONS DU MOND;MAISONS DU MONDE;-34,18;0
2022-05-18;2022-05-18;Virement recu - a categoriser;Free Telecom;Free Telecom;+4,68;0
2022-05-17;2022-05-19;Shopping et services;AMAZON;AMAZON;-10,90;0
2022-05-17;2022-05-19;Pharmacie;PHARMA;PHARMACIE DU RITOURET;-13,80;0
2022-05-17;2022-05-18;Hyper/supermarche;NOBLADIS;ELECLERC;-54,98;0
2022-05-13;2022-05-14;Shopping et services;Nespresso;NESPRESSO;-45,45;0
2022-05-13;2022-05-13;Frais bancaires;COTISATIONS BANCAIRES;COTISATIONS BANCAIRES;-15,90;0
